20090327-080859 : Mandatory attributes:
20090327-080901 : 	81	labeledURI	 [Syntax: DirectoryString]	 Multivalued
20090327-080901 : 	82	lastKnownParent	 [Syntax: DN]	 Single-valued
20090327-080901 : 	83	lastLogoff	 [Syntax: INTEGER8]	 Single-valued
20090327-080901 : 	84	lastLogon	 [Syntax: INTEGER8]	 Single-valued
20090327-080901 : 	85	lastLogonTimestamp	 [Syntax: INTEGER8]	 Single-valued
20090327-080901 : 	86	legacyExchangeDN	 [Syntax: CaseIgnoreString]	 Single-valued
20090327-080901 : 	87	lmPwdHistory	 [Syntax: OctetString]	 Multivalued
20090327-080901 : 	88	localeID	 [Syntax: INTEGER]	 Multivalued
20090327-080901 : 	89	lockoutTime	 [Syntax: INTEGER8]	 Single-valued
20090327-080901 : 	90	logonCount	 [Syntax: INTEGER]	 Single-valued
20090327-080901 : 	91	logonHours	 [Syntax: OctetString]	 Single-valued
20090327-080901 : 	92	logonWorkstation	 [Syntax: OctetString]	 Single-valued
20090327-080901 : 	93	mail	 [Syntax: DirectoryString]	 Single-valued
20090327-080901 : 	94	managedObjects	 [Syntax: DN]	 Multivalued
20090327-080901 : 	95	manager	 [Syntax: DN]	 Single-valued
20090327-080901 : 	96	masteredBy	 [Syntax: DN]	 Multivalued
20090327-080901 : 	97	maxStorage	 [Syntax: INTEGER8]	 Single-valued
20090327-080901 : 	98	memberOf	 [Syntax: DN]	 Multivalued
20090327-080901 : 	99	mhsORAddress	 [Syntax: DirectoryString]	 Multivalued
20090327-080901 : 	100	middleName	 [Syntax: DirectoryString]	 Single-valued
20090327-080902 : 	101	mobile	 [Syntax: DirectoryString]	 Single-valued
20090327-080902 : 	102	modifyTimeStamp	 [Syntax: GeneralizedTime]	 Single-valued
20090327-080902 : 	103	mS-DS-ConsistencyChildCount	 [Syntax: INTEGER]	 Single-valued
20090327-080902 : 	104	mS-DS-ConsistencyGuid	 [Syntax: OctetString]	 Single-valued
20090327-080902 : 	105	mS-DS-CreatorSID	 [Syntax: OctetString]	 Single-valued
20090327-080902 : 	106	msCOM-PartitionSetLink	 [Syntax: DN]	 Multivalued
20090327-080902 : 	107	msCOM-UserLink	 [Syntax: DN]	 Multivalued
20090327-080902 : 	108	msCOM-UserPartitionSetLink	 [Syntax: DN]	 Single-valued
20090327-080902 : 	109	msDRM-IdentityCertificate	 [Syntax: OctetString]	 Multivalued
20090327-080902 : 	110	msDS-AllowedToDelegateTo	 [Syntax: DirectoryString]	 Multivalued
20090327-080902 : 	111	msDS-Approx-Immed-Subordinates	 [Syntax: INTEGER]	 Single-valued
20090327-080902 : 	112	msDS-Cached-Membership	 [Syntax: OctetString]	 Single-valued
20090327-080902 : 	113	msDS-Cached-Membership-Time-Stamp	 [Syntax: INTEGER8]	 Single-valued
20090327-080902 : 	114	msDS-KeyVersionNumber	 [Syntax: INTEGER]	 Single-valued
20090327-080902 : 	115	msDs-masteredBy	 [Syntax: DN]	 Multivalued
20090327-080902 : 	116	msDS-MembersForAzRoleBL	 [Syntax: DN]	 Multivalued
20090327-080902 : 	117	msDS-NCReplCursors	 [Syntax: DirectoryString]	 Multivalued
20090327-080902 : 	118	msDS-NCReplInboundNeighbors	 [Syntax: DirectoryString]	 Multivalued
