"Server","Scope","IP_Address","MAC","Reservation_name","Description"	
dc07.nedcar.nl,10.30.48.0,10.30.48.53,a44e31a6a368,"VDLNC00353.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.38,a44e31a9b0d4,"VDLNC00200.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.49.213,d8fc93b80baf,"VDLNC01633.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.20,d8fc9374d38a,"VDLNC01432.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.21,b88a6090fdd0,"VDLNC01934.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.22,ac7ba1e13778,"VDLNC00895.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.23,8086f26c6e98,"VDLNC00910.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.24,a44e31a67cf4,"VDLNC00585.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.25,6c88144f5674,"VDLNC00093.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.26,6c88144f56e8,"VDLNC00097.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.27,6c88144f5814,"VDLNC00118.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.28,6c88144f66a8,"VDLNC00119.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.29,6c88144f69f4,"VDLNC00121.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.30,6c8814e71a58,"VDLNC00206.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.31,8c705a8f8b20,"VDLNC00182.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.32,6c88144f67cc,"VDLNC00096.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.33,fcf8ae12bebb,"VDLNC00755.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.34,fcf8ae42eded,"VDLNC00714.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.35,6c8814ecd7b8,"VDLNC00183.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.36,843a4b9a5172,"VDLNC00036.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.37,a44e31a679dc,"VDLNC00580.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.39,ac7ba1dd5c34,"VDLNC00774.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.40,f816549882d5,"VDLNC01126.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.41,ac7ba1dd4c3f,"VDLNC00880.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.42,8086f26c618c,"VDLNC00685.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.43,fcf8ae128fa9,"VDLNC00743.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.44,843a4b9a5078,"VDLNC00048.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.45,dc5360910749,"VDLNC01657.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.46,80193457e1f3,"VDLNC01167.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.47,d8fc93b8060f,"VDLNC01527.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.48,484520480c4c,"VDLNC01728.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.49,dc536091a802,"VDLNC01668.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.50,e4b31803d798,"VDLNC01760.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.51,e4a471052cba,"VDLNC01790.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.48.52,6c8814e3f1f4,"VDLNC00210.nedcar.nl"
dc07.nedcar.nl,10.30.48.0,10.30.58.63,c4d98710ccaa,"VDLNC00734.nedcar.nl"
dc07.nedcar.nl,10.30.80.0,10.30.80.14,001e8f4e17ad,"VDTP018.nedcar.nl"
