ActiveTime,ClientType,ComputerName,Description,IdleTime,InstallDate,Name,ResourcesOpened,SessionType,Status,TransportName,UserName
19396,"Windows Server 2003 3790 Service Pack 1","172.18.128.7","",0,,"",5,2,"","\Device\NetbiosSmb","MN78258",
19357,"Windows Server 2003 3790 Service Pack 1","172.18.128.17","",0,,"",8,2,"","\Device\NetbiosSmb","HH36061",
19356,"Windows Server 2003 3790 Service Pack 1","172.18.128.14","",0,,"",14,2,"","\Device\NetbiosSmb","JH56815",
19332,"Windows 2000 2195","172.18.0.238","",78,,"",10,2,"","\Device\NetbiosSmb","AM76858",
19320,"Windows 2000 2195","172.18.0.234","",4818,,"",0,2,"","\Device\NetbiosSmb","PB59394",
19293,"Windows Server 2003 3790 Service Pack 1","172.18.128.16","",0,,"",13,2,"","\Device\NetbiosSmb","JB81689",
19284,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",3,,"",5,2,"","\Device\NetbiosSmb","PB59394",
19258,"Windows Server 2003 3790 Service Pack 1","172.18.128.9","",0,,"",13,2,"","\Device\NetbiosSmb","JJ76900",
19251,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",14,2,"","\Device\NetbiosSmb","JM38048",
19244,"Windows Server 2003 3790 Service Pack 1","172.18.128.2","",0,,"",5,2,"","\Device\NetbiosSmb","JL38492",
19144,"Windows 2000 2195","172.18.0.233","",67,,"",9,2,"","\Device\NetbiosSmb","JV89067",
19105,"Windows Server 2003 3790 Service Pack 1","172.18.128.24","",0,,"",13,2,"","\Device\NetbiosSmb","NU57636",
19028,"Windows Server 2003 3790 Service Pack 1","VCS021","",0,,"",14,2,"","\Device\NetBT_Tcpip_{EC8A3CA5-F812-4C0A-9C61-91EB4B6A22C9}","NV56589",
19016,"Windows Server 2003 3790 Service Pack 1","172.18.128.13","",0,,"",12,2,"","\Device\NetbiosSmb","FS76764",
19016,"Windows 2000 2195","172.18.0.226","",81,,"",9,2,"","\Device\NetbiosSmb","JM79929",
18968,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",0,,"",14,2,"","\Device\NetbiosSmb","FH39244",
18953,"Windows 2000 2195","172.18.0.225","",168,,"",9,2,"","\Device\NetbiosSmb","RO75886",
18922,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",8,2,"","\Device\NetbiosSmb","MK39536",
18911,"Windows Server 2003 3790 Service Pack 1","172.18.128.22","",0,,"",16,2,"","\Device\NetbiosSmb","CB37528",
18897,"Windows Server 2003 3790 Service Pack 1","172.18.128.23","",0,,"",13,2,"","\Device\NetbiosSmb","LG77147",
18895,"Windows 2000 2195","172.18.0.51","",148,,"",12,2,"","\Device\NetbiosSmb","FT78308",
18887,"Windows Server 2003 3790 Service Pack 1","172.18.128.7","",0,,"",16,2,"","\Device\NetbiosSmb","MH75026",
18884,"Windows Server 2003 3790 Service Pack 1","172.18.128.5","",0,,"",13,2,"","\Device\NetbiosSmb","MS38102",
18882,"Windows Server 2003 3790 Service Pack 1","172.18.128.12","",0,,"",14,2,"","\Device\NetbiosSmb","VM77073",
18872,"Windows Server 2003 3790 Service Pack 1","172.18.128.25","",0,,"",5,2,"","\Device\NetbiosSmb","RW76130",
18850,"Windows 2000 2195","172.18.0.63","",89,,"",0,2,"","\Device\NetbiosSmb","DF79613",
18770,"Windows 2000 2195","172.18.0.59","",80,,"",11,2,"","\Device\NetbiosSmb","JB56598",
18749,"Windows 2000 2195","172.18.0.237","",0,,"",9,2,"","\Device\NetbiosSmb","GE75984",
18710,"Windows Server 2003 3790 Service Pack 1","172.18.128.19","",0,,"",5,2,"","\Device\NetbiosSmb","ES79392",
18704,"Windows 2000 2195","172.18.0.227","",270,,"",0,2,"","\Device\NetbiosSmb","JG77967",
18687,"Windows Server 2003 3790 Service Pack 1","172.18.128.17","",0,,"",7,2,"","\Device\NetbiosSmb","NK79879",
18687,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",73,,"",20,2,"","\Device\NetbiosSmb","FM77373",
18683,"Windows Server 2003 3790 Service Pack 1","172.18.128.2","",0,,"",17,2,"","\Device\NetbiosSmb","LV33475",
18667,"Windows 2002 Service Pack 3 2600","172.18.11.10","",126,,"",0,2,"","\Device\NetbiosSmb","JG79811",
18667,"Windows Server 2003 3790 Service Pack 1","172.18.128.20","",0,,"",6,2,"","\Device\NetbiosSmb","FM77373",
18639,"Windows 2000 2195","172.18.0.62","",1735,,"",1,2,"","\Device\NetbiosSmb","FR78894",
18638,"Windows Server 2003 3790 Service Pack 1","172.18.128.14","",0,,"",16,2,"","\Device\NetbiosSmb","Q055917",
18619,"Windows 2000 2195","172.18.0.236","",233,,"",9,2,"","\Device\NetbiosSmb","PS76389",
18619,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",5,2,"","\Device\NetbiosSmb","GM77357",
18599,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",7,2,"","\Device\NetbiosSmb","TH75875",
18589,"Windows 2000 2195","172.18.2.111","",237,,"",0,2,"","\Device\NetbiosSmb","MV81198",
18577,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",0,,"",13,2,"","\Device\NetbiosSmb","JK79285",
18535,"Windows Server 2003 3790 Service Pack 1","172.18.128.7","",0,,"",7,2,"","\Device\NetbiosSmb","GK57600",
18524,"Windows 2000 2195","172.18.0.51","",328,,"",0,2,"","\Device\NetbiosSmb","PP82804",
18508,"Windows 2000 2195","172.18.0.59","",0,,"",2,2,"","\Device\NetbiosSmb","ZF58008",
18482,"Windows 2000 2195","172.18.0.51","",925,,"",1,2,"","\Device\NetbiosSmb","PM76487",
18469,"Windows 2000 2195","172.18.0.231","",102,,"",12,2,"","\Device\NetbiosSmb","PM76487",
18455,"Windows Server 2003 3790 Service Pack 1","172.18.128.22","",328,,"",5,2,"","\Device\NetbiosSmb","JB56598",
18428,"Windows Server 2003 3790 Service Pack 1","172.18.128.5","",3,,"",5,2,"","\Device\NetbiosSmb","PM76487",
18413,"Windows Server 2003 3790 Service Pack 1","172.18.128.23","",0,,"",6,2,"","\Device\NetbiosSmb","MO59081",
18411,"Windows Server 2003 3790 Service Pack 1","172.18.128.12","",0,,"",13,2,"","\Device\NetbiosSmb","MD57432",
18390,"Windows 2000 2195","172.18.0.232","",254,,"",9,2,"","\Device\NetbiosSmb","EBE0635",
18383,"Windows Server 2003 3790 Service Pack 1","172.18.128.21","",0,,"",15,2,"","\Device\NetbiosSmb","AP58476",
18355,"Windows Server 2003 3790 Service Pack 1","172.18.128.25","",0,,"",14,2,"","\Device\NetbiosSmb","VS39265",
18334,"Windows Server 2003 3790 Service Pack 1","172.18.128.16","",0,,"",14,2,"","\Device\NetbiosSmb","RL78264",
18291,"Windows Server 2003 3790 Service Pack 1","172.18.128.4","",0,,"",15,2,"","\Device\NetbiosSmb","RS76722",
18284,"Windows 2000 2195","172.18.0.225","",18255,,"",0,2,"","\Device\NetbiosSmb","JH56815",
18261,"Windows 2000 2195","172.18.2.111","",949,,"",0,2,"","\Device\NetbiosSmb","SN82828",
18255,"Windows 2000 2195","172.18.0.62","",1009,,"",0,2,"","\Device\NetbiosSmb","GK57600",
