20080219-080831 : Mandatory attributes:
20080219-080832 : 	81	isPrivilegeHolder	 [Syntax: DN]	 Multivalued
20080219-080832 : 	82	jpegPhoto	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	83	l	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	84	labeledURI	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	85	lastKnownParent	 [Syntax: DN]	 Single-valued
20080219-080832 : 	86	lastLogoff	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	87	lastLogon	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	88	lastLogonTimestamp	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	89	legacyExchangeDN	 [Syntax: CaseIgnoreString]	 Single-valued
20080219-080832 : 	90	lmPwdHistory	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	91	localeID	 [Syntax: INTEGER]	 Multivalued
20080219-080832 : 	92	localPolicyFlags	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	93	location	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	94	lockoutTime	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	95	logonCount	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	96	logonHours	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	97	logonWorkstation	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	98	machineRole	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	99	mail	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	100	managedBy	 [Syntax: DN]	 Single-valued
20080219-080832 : 	101	managedObjects	 [Syntax: DN]	 Multivalued
20080219-080832 : 	102	manager	 [Syntax: DN]	 Single-valued
20080219-080832 : 	103	masteredBy	 [Syntax: DN]	 Multivalued
20080219-080832 : 	104	maxStorage	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	105	memberOf	 [Syntax: DN]	 Multivalued
20080219-080832 : 	106	mhsORAddress	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	107	middleName	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	108	mobile	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	109	modifyTimeStamp	 [Syntax: GeneralizedTime]	 Single-valued
20080219-080832 : 	110	mS-DS-ConsistencyChildCount	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	111	mS-DS-ConsistencyGuid	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	112	mS-DS-CreatorSID	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	113	msCOM-PartitionSetLink	 [Syntax: DN]	 Multivalued
20080219-080832 : 	114	msCOM-UserLink	 [Syntax: DN]	 Multivalued
20080219-080832 : 	115	msCOM-UserPartitionSetLink	 [Syntax: DN]	 Single-valued
20080219-080832 : 	116	msDRM-IdentityCertificate	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	117	msDS-AdditionalDnsHostName	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	118	msDS-AdditionalSamAccountName	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	119	msDS-AllowedToDelegateTo	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	120	msDS-Approx-Immed-Subordinates	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	121	msDS-Cached-Membership	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	122	msDS-Cached-Membership-Time-Stamp	 [Syntax: INTEGER8]	 Single-valued
20080219-080832 : 	123	msDS-KeyVersionNumber	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	124	msDs-masteredBy	 [Syntax: DN]	 Multivalued
20080219-080832 : 	125	msDS-MembersForAzRoleBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	126	msDS-NCReplCursors	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	127	msDS-NCReplInboundNeighbors	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	128	msDS-NCReplOutboundNeighbors	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	129	msDS-NonMembersBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	130	msDS-ObjectReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	131	msDS-OperationsForAzRoleBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	132	msDS-OperationsForAzTaskBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	133	msDS-ReplAttributeMetaData	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	134	msDS-ReplValueMetaData	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	135	msDS-Site-Affinity	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	136	msDS-TasksForAzRoleBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	137	msDS-TasksForAzTaskBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	138	msDS-User-Account-Control-Computed	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	139	msExchAssistantName	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	140	msExchHouseIdentifier	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	141	msExchLabeledURI	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	142	msIIS-FTPDir	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	143	msIIS-FTPRoot	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	144	mSMQDigests	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	145	mSMQDigestsMig	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	146	mSMQSignCertificates	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	147	mSMQSignCertificatesMig	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	148	msNPAllowDialin	 [Syntax: Boolean]	 Single-valued
20080219-080832 : 	149	msNPCallingStationID	 [Syntax: IA5String]	 Multivalued
20080219-080832 : 	150	msNPSavedCallingStationID	 [Syntax: IA5String]	 Multivalued
20080219-080832 : 	151	msRADIUSCallbackNumber	 [Syntax: IA5String]	 Single-valued
20080219-080832 : 	152	msRADIUSFramedIPAddress	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	153	msRADIUSFramedRoute	 [Syntax: IA5String]	 Multivalued
20080219-080832 : 	154	msRADIUSServiceType	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	155	msRASSavedCallbackNumber	 [Syntax: IA5String]	 Single-valued
20080219-080832 : 	156	msRASSavedFramedIPAddress	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	157	msRASSavedFramedRoute	 [Syntax: IA5String]	 Multivalued
20080219-080832 : 	158	name	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	159	netbootGUID	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	160	netbootInitialization	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	161	netbootMachineFilePath	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	162	netbootMirrorDataFile	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	163	netbootSCPBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	164	netbootSIFFile	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	165	networkAddress	 [Syntax: CaseIgnoreString]	 Multivalued
20080219-080832 : 	166	nonSecurityMemberBL	 [Syntax: DN]	 Multivalued
20080219-080832 : 	167	ntPwdHistory	 [Syntax: OctetString]	 Multivalued
20080219-080832 : 	168	o	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	169	objectGUID	 [Syntax: OctetString]	 Single-valued
20080219-080832 : 	170	objectVersion	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	171	operatingSystem	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	172	operatingSystemHotfix	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	173	operatingSystemServicePack	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	174	operatingSystemVersion	 [Syntax: DirectoryString]	 Single-valued
20080219-080832 : 	175	operatorCount	 [Syntax: INTEGER]	 Single-valued
20080219-080832 : 	176	otherFacsimileTelephoneNumber	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	177	otherHomePhone	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	178	otherIpPhone	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	179	otherLoginWorkstations	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	180	otherMailbox	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	181	otherMobile	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	182	otherPager	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	183	otherTelephone	 [Syntax: DirectoryString]	 Multivalued
20080219-080832 : 	184	otherWellKnownObjects	 [Syntax: DNWithBinary]	 Multivalued
20080219-080832 : 	185	ou	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	186	ownerBL	 [Syntax: DN]	 Multivalued
20080219-080833 : 	187	pager	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	188	partialAttributeDeletionList	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	189	partialAttributeSet	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	190	personalTitle	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	191	photo	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	192	physicalDeliveryOfficeName	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	193	physicalLocationObject	 [Syntax: DN]	 Single-valued
20080219-080833 : 	194	policyReplicationFlags	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	195	possibleInferiors	 [Syntax: OID]	 Multivalued
20080219-080833 : 	196	postalAddress	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	197	postalCode	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	198	postOfficeBox	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	199	preferredDeliveryMethod	 [Syntax: INTEGER]	 Multivalued
20080219-080833 : 	200	preferredLanguage	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	201	preferredOU	 [Syntax: DN]	 Single-valued
20080219-080833 : 	202	primaryGroupID	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	203	primaryInternationalISDNNumber	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	204	primaryTelexNumber	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	205	profilePath	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	206	proxiedObjectName	 [Syntax: DNWithBinary]	 Single-valued
20080219-080833 : 	207	proxyAddresses	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	208	pwdLastSet	 [Syntax: INTEGER8]	 Single-valued
20080219-080833 : 	209	queryPolicyBL	 [Syntax: DN]	 Multivalued
20080219-080833 : 	210	registeredAddress	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	211	replPropertyMetaData	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	212	replUpToDateVector	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	213	repsFrom	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	214	repsTo	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	215	revision	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	216	rid	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	217	rIDSetReferences	 [Syntax: DN]	 Multivalued
20080219-080833 : 	218	roomNumber	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	219	sAMAccountType	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	220	scriptPath	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	221	sDRightsEffective	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	222	secretary	 [Syntax: DN]	 Multivalued
20080219-080833 : 	223	securityIdentifier	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	224	seeAlso	 [Syntax: DN]	 Multivalued
20080219-080833 : 	225	serialNumber	 [Syntax: PrintableString]	 Multivalued
20080219-080833 : 	226	serverReferenceBL	 [Syntax: DN]	 Multivalued
20080219-080833 : 	227	servicePrincipalName	 [Syntax: DirectoryString]	 Multivalued
20080219-080833 : 	228	showInAddressBook	 [Syntax: DN]	 Multivalued
20080219-080833 : 	229	showInAdvancedViewOnly	 [Syntax: Boolean]	 Single-valued
20080219-080833 : 	230	sIDHistory	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	231	siteGUID	 [Syntax: OctetString]	 Single-valued
20080219-080833 : 	232	siteObjectBL	 [Syntax: DN]	 Multivalued
20080219-080833 : 	233	sn	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	234	st	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	235	street	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	236	streetAddress	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	237	structuralObjectClass	 [Syntax: OID]	 Multivalued
20080219-080833 : 	238	subRefs	 [Syntax: DN]	 Multivalued
20080219-080833 : 	239	subSchemaSubEntry	 [Syntax: DN]	 Multivalued
20080219-080833 : 	240	supplementalCredentials	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	241	systemFlags	 [Syntax: INTEGER]	 Single-valued
20080219-080833 : 	242	telephoneNumber	 [Syntax: DirectoryString]	 Single-valued
20080219-080833 : 	243	teletexTerminalIdentifier	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	244	telexNumber	 [Syntax: OctetString]	 Multivalued
20080219-080833 : 	245	terminalServer	 [Syntax: OctetString]	 Single-valued
