"Systemname","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Creator","Schedule","Task To Run","Start In","Comment","Scheduled Task State","Scheduled Type","Start Time","Start Date","End Date","Days","Months","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Repeat Every","Repeat Until Time","Repeat Until Duration","Repeat Stop If Still Running","Idle Time","Power Management"
"S153","Automatische reboot","19:00:00, 13-2-2011","","Interactive/Background","19:00:00, 6-2-2011","0","adm1","At 19:00 every Sun of every week, starting 18-11-2003","C:\Scripts\Acties\shutdown.cmd ","C:\Scripts\Acties","N/A","Enabled","Weekly","19:00:00","18-11-2003","N/A","SUNDAY","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_Brarchive","Disabled","","Interactive/Background","9:25:37, 2-2-2011","0","d10adm","Disabled","c:\scripts\sap\D10_brarchive.cmd ","c:\scripts\","Backup offline redo logs SAP DB","Disabled","Weekly","7:15:00","18-11-2005","N/A","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY","N/A","NEDCAR\d10adm","Disabled","2:0","1 Hour(s)","None","12 Hour(s): 0 Minute(s)","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_Brbackup_full","Disabled","","Interactive/Background","8:45:16, 2-2-2011","0","d10adm","Disabled","C:\Scripts\sap\D10_brbackup_full.cmd ","C:\Scripts","RMAN Full online backup SAP DB","Disabled","Weekly","23:00:00","18-11-2005","N/A","SUNDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_Brbackup_incremental","Disabled","","Interactive/Background","23:00:00, 1-2-2011","0","d10adm","Disabled","C:\Scripts\SAP\D10_brbackup_incremental.cmd ","C:\Scripts","RMAN incremental backup SAP DB","Disabled","Weekly","23:00:00","18-11-2005","N/A","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_check_db","Disabled","","Interactive/Background","7:00:00, 2-2-2011","0","q055947","Disabled","C:\Scripts\sap\D10_check_db.cmd ","C:\Scripts\sap","N/A","Disabled","Daily ","7:00:00","16-5-2007","N/A","Everyday","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_cleanup_logs","Disabled","","Interactive/Background","9:00:00, 29-1-2011","0","q055947","Disabled","C:\Scripts\sap\D10_cleanup.cmd ","c:\scripts\sap","N/A","Disabled","Weekly","9:00:00","16-5-2007","N/A","SATURDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_crosscheck","Disabled","","Interactive/Background","22:15:00, 30-1-2011","0","d10adm","Disabled","c:\scripts\sap\xrman.cmd c:\scripts\sap\D10_crosscheck.rcv","c:\scripts\sap\","Crosscheck RMAN and TSM","Disabled","Weekly","22:15:00","15-11-2005","N/A","SUNDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_delete_obsolete","Disabled","","Interactive/Background","22:00:00, 30-1-2011","0","d10adm","Disabled","c:\scripts\sap\xrman.cmd c:\scripts\sap\D10_delete_obsolete.rcv","c:\scripts\sap\","Delete expired backups in TSM","Disabled","Weekly","22:00:00","15-11-2005","N/A","SUNDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_rebuild_indexes","Disabled","","Interactive/Background","11:00:46, 21-2-2007","0","d10adm","Disabled","C:\Scripts\sap\D10_rebuild_index.cmd ","C:\Scripts\sap","N/A","Disabled","One Time Only","11:00:00","21-2-2007","N/A","N/A","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","D10_statistics","Disabled","","Interactive/Background","5:00:00, 2-2-2011","0","q055947","Disabled","C:\Scripts\sap\D10_Statistics.cmd ","c:\scripts\sap","N/A","Disabled","Weekly","5:00:00","16-5-2007","N/A","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Migration Monitor","Never","","Interactive/Background","10:18:52, 2-2-2011","0","d10adm","At 9:00 on 12-8-2010","D:\SAPMigrationD10\export_monitor.bat ","D:\SAPMigrationD10","N/A","Enabled","One Time Only","9:00:00","12-8-2010","N/A","N/A","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_brarchive","Disabled","","Interactive/Background","8:00:00, 23-12-2010","5","q055947","Disabled","C:\Scripts\sap\NC1_brarchive.cmd ","C:\Scripts\sap\","N/A","Disabled","Weekly","8:00:00","4-2-2010","N/A","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_brbackup_full","Disabled","","Interactive/Background","1:00:00, 22-12-2010","3","q055947","Disabled","C:\Scripts\sap\NC1_brbackup_full.cmd ","C:\Scripts\sap\","N/A","Disabled","Weekly","1:00:00","3-2-2010","N/A","SUNDAY,WEDNESDAY","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_brbrackup_incremental","Disabled","","Interactive/Background","20:00:00, 22-12-2010","3","q055947","Disabled","C:\Scripts\sap\NC1_brbackup_incremental.cmd ","C:\Scripts\sap\","N/A","Disabled","Weekly","20:00:00","4-2-2010","N/A","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_check_db","Disabled","","Interactive/Background","7:00:00, 23-12-2010","3","q055947","Disabled","C:\Scripts\sap\NC1_check_db.cmd ","C:\Scripts\sap\","N/A","Disabled","Daily ","7:00:00","25-1-2010","N/A","Everyday","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_crosscheck","Disabled","","Interactive/Background","21:15:00, 19-12-2010","1","q055947","Disabled","c:\scripts\sap\xrman.cmd c:\scripts\sap\NC1_crosscheck.rcv","c:\scripts\sap","N/A","Disabled","Weekly","21:15:00","4-2-2010","N/A","SUNDAY","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_delete_obsolete","Disabled","","Interactive/Background","21:00:04, 19-12-2010","1","q055947","Disabled","c:\scripts\sap\xrman.cmd c:\scripts\sap\NC1_delete_obsolete.rcv","c:\scripts\sap","N/A","Disabled","Weekly","21:00:00","4-2-2010","N/A","SUNDAY","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","NC1_statistics","Disabled","","Interactive/Background","6:00:00, 23-12-2010","3","q055947","Disabled","C:\Scripts\sap\NC1_Statistics.cmd ","C:\Scripts\sap\","N/A","Disabled","Daily ","6:00:00","25-1-2010","N/A","Everyday","N/A","NEDCAR\nc1adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","sapinst_D10","Never","","Interactive/Background","9:57:30, 2-2-2011","0","d10adm","At 9:00 on 2-2-2011","D:\Installation_Master_6.20_6.40_05_08\IM_WINDOWS_I386\SAPINST\NT\I386\sapinst.exe -nogui","H:\sapinst\D10","N/A","Enabled","One Time Only","9:00:00","2-2-2011","N/A","N/A","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","startjavagui","Disabled","","Interactive/Background","15:05:43, 26-6-2008","-1073741510","nc1adm","Disabled","E:\usr\sap\put\ua\startjavagui.bat ","E:\usr\sap\put\ua","N/A","Disabled","One Time Only","8:39:00","26-6-2008","N/A","N/A","N/A","NEDCAR\nc1adm","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","startjavaserver","Disabled","","Interactive/Background","15:05:37, 26-6-2008","-1073741510","nc1adm","Disabled","E:\usr\sap\put\ua\startjavaserver.bat ","E:\usr\sap\put\ua","N/A","Disabled","One Time Only","8:35:00","26-6-2008","N/A","N/A","N/A","NEDCAR\nc1adm","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Startsap_after_reboot","Disabled","","Interactive/Background","19:09:24, 30-1-2011","0","q055947","Disabled","C:\Scripts\sap\Startsap_systems.cmd ","c:\scripts\sap","N/A","Disabled","At system start up","At system start up","13-7-2006","N/A","N/A","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Startsap_after_WindowsPatch","Disabled","","Interactive/Background","7:00:00, 27-1-2011","0","q055947","Disabled","C:\Scripts\sap\Startsap_systems.cmd ","c:\scripts\sap","N/A","Disabled","Weekly","7:00:00","9-3-2006","N/A","THURSDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Startsap_D10","Disabled","","Interactive/Background","5:00:00, 20-8-2010","-1","q055947","Disabled","C:\Scripts\sap\Startsap_systems.cmd ","C:\Scripts\sap","N/A","Disabled","One Time Only","5:00:00","20-8-2010","N/A","N/A","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Std-Cleanup","5:00:00, 9-2-2011","","Interactive/Background","5:00:00, 8-2-2011","0","Scheduler","At 5:00 every day, starting 28-1-2011","C:\Scripts\Acties\cleanup.cmd ","C:\Scripts\Acties","N/A","Enabled","Daily ","5:00:00","28-1-2011","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Std-DUMPNTFSv3","4:00:00, 7-3-2011","","Interactive/Background","4:00:00, 7-2-2011","1","Scheduler","At 4:00 on the first Mon of every month, starting 28-1-2011","C:\Scripts\Secdump\DumpNTFS3\DumpNTFS3.cmd ","C:\Scripts\Secdump\DumpNTFS3","N/A","Enabled","Monthly","4:00:00","28-1-2011","N/A","MONDAY","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Std-MOM-DeSnooze","Never","","Interactive/Background","Never","0","Scheduler","At 0:00 on 28-1-2011","C:\Scripts\Acties\MOMAgentDesnooze.cmd ","C:\Scripts\Acties","N/A","Enabled","One Time Only","0:00:00","28-1-2011","N/A","N/A","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Std-MOM-Snooze","Never","","Interactive/Background","Never","0","Scheduler","At 0:00 on 28-1-2011","C:\Scripts\Acties\MOMAgentSnooze.cmd ","C:\Scripts\Acties","N/A","Enabled","One Time Only","0:00:00","28-1-2011","N/A","N/A","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Std-SysInfo","22:00:00, 8-2-2011","","Interactive/Background","22:00:00, 7-2-2011","0","Scheduler","At 22:00 every day, starting 28-1-2011","C:\Scripts\Secdump\SysInfo\SysInfo.cmd ","C:\Scripts\Secdump\SysInfo","N/A","Enabled","Daily ","22:00:00","28-1-2011","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Std-WUClientCleanup","6:00:00, 7-3-2011","","Interactive/Background","6:00:00, 7-2-2011","0","Scheduler","At 6:00 on the first Mon of every month, starting 28-1-2011","C:\Scripts\Acties\wuclient-cleanup.cmd ","C:\Scripts\Acties","N/A","Enabled","Monthly","6:00:00","28-1-2011","N/A","MONDAY","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Stopsap_20070318","Disabled","","Interactive/Background","6:00:00, 18-3-2007","0","q055947","Disabled","C:\Scripts\sap\Stopsap_systems.cmd ","C:\Scripts\sap","N/A","Disabled","One Time Only","6:00:00","18-3-2007","N/A","N/A","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Stopsap_Weekend_reboot","Disabled","","Interactive/Background","18:00:00, 30-1-2011","0","q055947","Disabled","C:\Scripts\sap\Stopsap_systems.cmd ","c:\scripts\sap","N/A","Disabled","Weekly","18:00:00","13-7-2006","N/A","SUNDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S153","Stopsap_WindowsPatch","Disabled","","Interactive/Background","2:30:00, 27-1-2011","0","Q055947","Disabled","C:\Scripts\sap\Stopsap_systems.cmd ","c:\scripts\sap","N/A","Disabled","Weekly","2:30:00","17-12-2005","N/A","THURSDAY","N/A","NEDCAR\d10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Automatische reboot","10:00:00, 13-2-2011","","Interactive/Background","10:00:00, 6-2-2011","0","scheduler","At 10:00 every Sun of every week, starting 8-1-2007","C:\Scripts\Acties\shutdown.cmd ","C:\Scripts\Acties\","Automatische wekelijkse reboot.","Enabled","Weekly","10:00:00","8-1-2007","N/A","SUNDAY","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","Disabled"
"S164","cr_stats_ora102","Never","","Interactive/Background","12:56:00, 18-3-2009","0","i20adm","At 12:56 on 18-3-2009","G:\tmp\cr_stats_ora102.cmd ","G:\tmp","N/A","Enabled","One Time Only","12:56:00","18-3-2009","N/A","N/A","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Extra Backupdrive_EG","Never","","Interactive/Background","21:28:05, 28-2-2009","0","q055947","At 9:00 on 28-2-2009","C:\Scripts\Sap\S164extra_backup_EG.cmd ","C:\Program Files\Tivoli\TSM\baclient","N/A","Enabled","One Time Only","9:00:00","28-2-2009","N/A","N/A","N/A","NEDCAR\q055947","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","I20_check_db","6:30:00, 9-2-2011","","Interactive/Background","6:30:00, 8-2-2011","0","q055947","At 6:30 every day, starting 24-1-2007","C:\Scripts\Sap\I20_check_db.cmd ","C:\Scripts\Sap","N/A","Enabled","Daily ","6:30:00","24-1-2007","N/A","Everyday","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","I20_cleanup","7:00:00, 9-2-2011","","Interactive/Background","7:00:00, 8-2-2011","0","q055947","At 7:00 every day, starting 24-1-2007","C:\Scripts\Sap\I20_cleanup.cmd ","C:\Scripts\Sap","N/A","Enabled","Daily ","7:00:00","24-1-2007","N/A","Everyday","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","I20_rebuild_indexes","Disabled","","Interactive/Background","13:03:33, 19-2-2007","0","i10adm","Disabled","C:\Scripts\Sap\I20_rebuild_index.cmd ","C:\Scripts\Sap","N/A","Disabled","One Time Only","13:29:00","7-2-2007","N/A","N/A","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","I20_statistics","19:00:00, 8-2-2011","","Interactive/Background","19:00:00, 7-2-2011","0","q055947","At 19:00 every Mon, Tue, Wed, Thu, Fri, Sat of every week, starting 24-1-2007","C:\Scripts\Sap\I20_statistics.cmd ","C:\Scripts\Sap","N/A","Enabled","Weekly","19:00:00","24-1-2007","N/A","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Startsap_systems","At system start up","","Interactive/Background","10:09:13, 6-2-2011","0","i10adm","Run at system startup","C:\Scripts\Sap\Startsap_systems.cmd ","c:\scripts\sap\","N/A","Enabled","At system start up","At system start up","17-1-2007","N/A","N/A","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Startsap_systems","5:00:00, 10-2-2011","","Interactive/Background","10:09:13, 6-2-2011","0","i10adm","At 5:00 every Thu of every week, starting 17-1-2007","C:\Scripts\Sap\Startsap_systems.cmd ","c:\scripts\sap\","N/A","Enabled","Weekly","5:00:00","17-1-2007","N/A","THURSDAY","N/A","NEDCAR\i20adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-Cleanup","5:00:00, 9-2-2011","","Interactive/Background","5:00:00, 8-2-2011","0","Scheduler","At 5:00 every day, starting 28-1-2011","C:\Scripts\Acties\cleanup.cmd ","C:\Scripts\Acties","N/A","Enabled","Daily ","5:00:00","28-1-2011","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-DUMPNTFSv3","4:00:00, 7-3-2011","","Interactive/Background","4:00:00, 7-2-2011","1","Scheduler","At 4:00 on the first Mon of every month, starting 28-1-2011","C:\Scripts\Secdump\DumpNTFS3\DumpNTFS3.cmd ","C:\Scripts\Secdump\DumpNTFS3","N/A","Enabled","Monthly","4:00:00","28-1-2011","N/A","MONDAY","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-MOM-DeSnooze","Never","","Interactive/Background","Never","0","Scheduler","At 0:00 on 28-1-2011","C:\Scripts\Acties\MOMAgentDesnooze.cmd ","C:\Scripts\Acties","N/A","Enabled","One Time Only","0:00:00","28-1-2011","N/A","N/A","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-MOM-Snooze","Never","","Interactive/Background","8:35:39, 19-3-2009","0","Scheduler","At 0:00 on 28-1-2011","C:\Scripts\Acties\MOMAgentSnooze.cmd ","C:\Scripts\Acties","N/A","Enabled","One Time Only","0:00:00","28-1-2011","N/A","N/A","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-NTFS-Analyze","18:00:00, 8-2-2011","","Interactive/Background","18:00:00, 7-2-2011","1","Scheduler","At 18:00 every day, starting 2-3-2009","C:\Scripts\Secdump\Defrag\analyze.cmd ","C:\Scripts\Secdump\Defrag","N/A","Enabled","Daily ","18:00:00","2-3-2009","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-NTFS-Defrag","19:00:00, 8-2-2011","","Interactive/Background","19:00:00, 7-2-2011","1","Scheduler","At 19:00 every day, starting 2-3-2009","C:\Scripts\Secdump\Defrag\defrag.cmd ","C:\Scripts\Secdump\Defrag","N/A","Enabled","Daily ","19:00:00","2-3-2009","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-SysInfo","22:00:00, 8-2-2011","","Interactive/Background","22:00:00, 7-2-2011","0","Scheduler","At 22:00 every day, starting 28-1-2011","C:\Scripts\Secdump\SysInfo\SysInfo.cmd ","C:\Scripts\Secdump\SysInfo","N/A","Enabled","Daily ","22:00:00","28-1-2011","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Std-WUClientCleanup","6:00:00, 7-3-2011","","Interactive/Background","6:00:00, 7-2-2011","0","Scheduler","At 6:00 on the first Mon of every month, starting 28-1-2011","C:\Scripts\Acties\wuclient-cleanup.cmd ","C:\Scripts\Acties","N/A","Enabled","Monthly","6:00:00","28-1-2011","N/A","MONDAY","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Stopsap_systems","2:30:00, 10-2-2011","","Interactive/Background","4:30:00, 6-2-2011","255","i10adm","At 4:30 every Sun of every week, starting 17-1-2007","C:\Scripts\Sap\Stopsap_systems.cmd ","c:\scripts","N/A","Enabled","Weekly","4:30:00","17-1-2007","N/A","SUNDAY","N/A","NEDCAR\i10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","Stopsap_systems","2:30:00, 10-2-2011","","Interactive/Background","4:30:00, 6-2-2011","255","i10adm","At 2:30 every Thu of every week, starting 17-1-2007","C:\Scripts\Sap\Stopsap_systems.cmd ","c:\scripts","N/A","Enabled","Weekly","2:30:00","17-1-2007","N/A","THURSDAY","N/A","NEDCAR\i10adm","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"
"S164","vcomcleanup","6:00:00, 9-2-2011","","Interactive/Background","6:00:00, 8-2-2011","0","adm1","At 6:00 every day, starting 19-1-2007","E:\VCOM\apps\bin\vcomcleanup.cmd ","E:\VCOM\apps\bin","N/A","Enabled","Daily ","6:00:00","19-1-2007","N/A","Everyday","N/A","NEDCAR\Scheduler","Disabled","72:0","Disabled","Disabled","Disabled","Disabled","Disabled","No Start On Batteries, Stop On Battery Mode"

